PK_Zona;ID_Zona;Zona;TipoZona;Mapa
135;213;"SALDIAS                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
136;214;"SALINAS DE ORO / JAITZ                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
137;215;"SAN ADRIÁN                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
138;216;"SANGÜESA / ZANGOZA                                ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
139;217;"SAN MARTÍN DE UNX                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
140;219;"SANSOL                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
141;22;"ARANTZA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
142;220;"SANTACARA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
143;221;"DONEZTEBE / SANTESTEBAN                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
144;222;"SARRIÉS / SARTZE                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
145;223;"SARTAGUDA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
146;224;"SESMA                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
147;225;"SORLADA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
148;226;"SUNBILLA                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
149;227;"TAFALLA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
150;228;"TIEBAS-MURUARTE DE RETA                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
151;229;"TIRAPU                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
152;23;"ARANGUREN                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
153;230;"TORRALBA DEL RÍO                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
154;231;"TORRES DEL RÍO                                    ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
155;232;"TUDELA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
156;233;"TULEBRAS                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
157;234;"ÚCAR                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
158;235;"UJUÉ/ UXUE                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
159;236;"ULTZAMA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
160;237;"UNCITI                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
161;238;"UNZUÉ / UNTZUE                                    ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
162;239;"URDAZUBI / URDAX                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
163;24;"ARANO                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
164;240;"URDIAIN                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
165;241;"URRAÚL ALTO                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
166;242;"URRAÚL BAJO                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
167;243;"URROZ-VILLA                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
168;244;"URROZ                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
169;245;"URZAINQUI / URZAINKI                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
170;246;"UTERGA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
171;247;"UZTÁRROZ / UZTARROZE                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
172;248;"LUZAIDE / VALCARLOS                               ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
173;249;"VALTIERRA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
174;25;"ARAKIL                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
175;250;"BERA                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
176;251;"VIANA                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
177;252;"VIDÁNGOZ / BIDANKOZE                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
178;253;"BIDAURRETA                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
179;254;"VILLAFRANCA                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
180;255;"VILLAMAYOR DE MONJARDÍN                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
181;256;"HIRIBERRI / VILLANUEVA DE AEZKOA                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
182;257;"VILLATUERTA                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
183;258;"VILLAVA / ATARRABIA                               ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
184;259;"IGANTZI                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
185;26;"ARAS                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
186;260;"VALLE DE YERRI / DEIERRI                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
187;261;"YESA                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
188;262;"ZABALZA / ZABALTZA                                ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
189;263;"ZUBIETA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
190;264;"ZUGARRAMURDI                                      ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
191;265;"ZÚÑIGA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
192;27;"ARBIZU                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
193;28;"ARCE / ARTZI                                      ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
194;29;"LOS ARCOS                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
195;3;"ABAURREGAINA / ABAURREA ALTA                      ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
196;30;"ARELLANO                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
197;31;"ARESO                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
198;32;"ARGUEDAS                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
199;33;"ARIA                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
200;34;"ARIBE                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
201;35;"ARMAÑANZAS                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
202;36;"ARRÓNIZ                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
203;37;"ARRUAZU                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
204;38;"ARTAJONA                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
205;39;"ARTAZU                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
206;4;"ABAURREPEA / ABAURREA BAJA                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
207;40;"ATEZ / ATETZ                                      ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
208;41;"AYEGUI / AIEGI                                    ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
209;42;"AZAGRA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
210;43;"AZUELO                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
211;44;"BAKAIKU                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
212;45;"BARÁSOAIN                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
213;46;"BARBARIN                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
214;47;"BARGOTA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
215;48;"BARILLAS                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
216;49;"BASABURUA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
217;5;"ABERIN                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
218;50;"BAZTAN                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
219;51;"BEIRE                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
220;52;"BELASCOÁIN                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
221;53;"BERBINZANA                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
222;54;"BERTIZARANA                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
223;55;"BETELU                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
